LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
C. Kispert - B. Coulibaly - A. Sarr - C. Carrington - K. George,WAS,16,56,109.6,128.2,-18.6,71.4,2.06,20.8,17.3,61.9,41.7,0.1,60.0,63.0,110.57,39.6
J. Poeltl - R. Barrett - O. Agbaji - S. Barnes - G. Dick,TOR,6,56,100.0,119.5,-19.5,69.4,1.42,20.4,23.1,81.4,54.1,0.2,56.6,58.0,105.31,41.3
R. Westbrook - N. Jokić - M. Porter Jr. - J. Strawther - C. Braun,DEN,15,56,137.6,92.7,44.9,77.8,5.44,24.9,41.1,71.0,56.8,0.1,60.2,63.4,107.21,71.3
J. Poeltl - R. Barrett - O. Agbaji - D. Mitchell - S. Barnes,TOR,10,55,110.0,84.2,25.8,72.0,2.12,21.4,25.0,79.7,56.3,0.1,58.9,61.8,102.36,69.3
M. Conley - J. Randle - N. Reid - A. Edwards - J. McDaniels,MIN,21,55,105.7,105.7,0.0,68.9,1.94,18.9,18.2,73.6,45.4,0.1,54.1,59.2,107.18,52.2
M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,MIN,20,55,113.2,87.4,25.8,76.7,2.20,20.4,27.8,75.5,51.4,0.1,55.4,60.5,98.38,66.8
N. Vučević - Z. LaVine - A. Dosunmu - J. Giddey - J. Phillips,CHI,16,55,118.9,109.8,9.1,66.0,1.46,21.1,23.1,73.8,54.8,0.2,71.3,72.2,106.67,55.3
B. Beal - M. Plumlee - T. Jones - D. Booker - R. O'Neale,PHX,5,54,110.7,136.4,-25.7,71.4,2.14,19.7,19.2,68.0,43.1,0.1,56.5,60.2,98.06,42.4
K. Irving - K. Thompson - L. Dončić - D. Gafford - N. Marshall,DAL,6,54,116.9,113.6,3.4,57.7,2.14,19.2,16.7,74.2,49.1,0.1,62.5,65.0,104.74,50.3
N. Batum - K. Dunn - I. Zubac - A. Coffey - K. Porter Jr.,LAC,10,54,106.3,95.6,10.7,64.7,1.57,20.4,34.0,81.5,57.9,0.2,56.9,57.2,100.36,56.5
P. George - J. Embiid - K. Oubre Jr. - C. Martin - T. Maxey,PHI,4,54,101.7,107.7,-6.0,65.8,1.56,16.3,20.4,61.8,41.3,0.1,47.8,56.1,104.23,53.5
B. Adebayo - D. Robinson - H. Highsmith - T. Herro - J. Jaquez Jr.,MIA,7,53,98.0,118.0,-20.0,68.6,1.41,16.9,29.6,72.2,50.9,0.2,47.8,52.3,91.53,41.7
J. Valančiūnas - C. Kispert - B. Coulibaly - C. Carrington - K. George,WAS,19,53,109.7,128.6,-18.8,65.9,1.32,19.0,25.6,61.7,44.4,0.2,60.7,64.7,101.76,42.7
A. Horford - J. Holiday - K. Porziņģis - J. Brown - D. White,BOS,8,52,96.4,109.3,-12.8,59.5,1.79,17.1,16.4,80.0,46.7,0.1,51.1,53.8,102.25,43.6
J. Poeltl - O. Agbaji - D. Mitchell - S. Barnes - G. Dick,TOR,7,52,105.7,109.0,-3.3,61.9,1.24,17.2,35.2,69.6,52.7,0.2,52.1,55.2,99.62,46.0
L. Markkanen - J. Collins - C. Sexton - K. George - K. Filipowski,UTA,5,52,117.3,127.3,-10.0,65.2,1.88,19.9,23.9,76.9,48.2,0.1,60.4,63.5,101.77,44.8
T. Harris - T. Hardaway Jr. - M. Beasley - J. Ivey - J. Duren,DET,7,52,103.8,124.5,-20.7,64.1,1.25,17.1,30.0,62.7,46.5,0.2,51.7,55.9,96.06,43.8
T. Lyles - D. Sabonis - M. Monk - K. Huerter - K. Ellis,SAC,12,52,116.7,120.5,-3.9,82.2,2.64,22.4,33.9,70.2,50.0,0.1,52.9,56.3,101.93,46.9
N. Vučević - Z. LaVine - P. Williams - A. Dosunmu - J. Giddey,CHI,16,51,102.5,110.1,-7.6,64.4,1.71,18.4,18.2,67.3,42.7,0.1,55.8,58.5,112.95,46.8
C. McCollum - D. Murray - Z. Williamson - T. Murphy III - Y. Missi,NOP,4,50,129.4,113.6,15.7,66.7,3.56,20.9,26.1,61.4,45.6,0.1,59.8,66.2,106.14,58.5
A. Simons - D. Ayton - D. Avdija - S. Henderson - T. Camara,POR,14,49,116.2,97.1,19.1,57.1,1.50,15.9,40.7,70.7,53.7,0.2,52.2,56.9,101.21,57.3
R. Gobert - N. Alexander-Walker - N. Reid - A. Edwards - J. McDaniels,MIN,19,49,104.8,113.0,-8.2,60.5,1.44,16.3,28.0,71.8,47.2,0.2,55.3,57.8,104.59,41.7
D. Brooks - J. Green - A. Sengun - J. Smith Jr. - A. Thompson,HOU,8,48,103.9,94.1,9.8,33.3,0.81,9.6,38.9,90.2,63.8,0.2,46.2,51.6,102.76,52.9
D. DeRozan - D. Sabonis - M. Monk - K. Huerter - K. Ellis,SAC,11,48,122.2,102.9,19.3,65.1,2.00,18.8,28.9,68.2,48.3,0.1,56.3,63.0,104.96,59.1
D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,CLE,5,48,125.7,106.8,18.9,57.4,2.07,20.5,36.6,81.3,60.7,0.1,65.9,67.0,104.44,57.5
J. Poole - C. Kispert - B. Coulibaly - A. Sarr - K. George,WAS,14,48,112.9,101.8,11.1,65.2,1.36,19.4,20.9,69.6,48.5,0.2,62.1,65.9,113.72,56.6
J. Tatum - D. White - L. Kornet - P. Pritchard - S. Hauser,BOS,11,48,116.2,84.9,31.3,61.4,2.45,18.5,27.8,75.0,51.8,0.1,56.6,58.3,106.02,62.3
K. Towns - C. Payne - O. Anunoby - M. Bridges - M. McBride,NYK,14,48,136.8,99.1,37.7,60.7,3.78,21.5,34.6,77.4,56.2,0.1,63.2,63.9,106.69,62.9
L. James - A. Davis - D. Finney-Smith - A. Reaves - M. Christie,LAL,9,48,125.5,91.5,34.0,55.3,1.44,19.7,12.5,77.2,53.9,0.2,70.5,73.4,104.40,65.9
R. Westbrook - D. Jordan - J. Murray - M. Porter Jr. - C. Braun,DEN,7,48,104.9,103.9,1.0,57.1,1.14,17.4,25.0,69.1,48.5,0.2,56.3,57.7,101.56,51.7
T. Rozier - B. Adebayo - H. Highsmith - T. Herro - N. Jović,MIA,11,48,99.0,97.0,2.0,60.0,1.29,12.9,31.0,67.2,50.0,0.1,45.2,51.2,101.64,55.9
T. Rozier - T. Herro - N. Jović - J. Jaquez Jr. - K. Ware,MIA,6,48,111.9,135.9,-24.0,75.0,3.67,23.2,16.3,64.7,41.0,0.1,54.3,57.5,101.88,42.9
K. Lowry - A. Drummond - K. Oubre Jr. - C. Martin - T. Maxey,PHI,7,47,90.5,106.1,-15.6,69.0,1.05,15.5,26.9,63.3,44.6,0.2,44.8,48.6,97.76,33.8
N. Vučević - C. White - P. Williams - A. Dosunmu - J. Giddey,CHI,4,47,117.3,148.0,-30.7,83.0,4.33,25.8,16.7,66.7,37.0,0.1,60.2,61.5,104.38,40.2
A. Horford - J. Holiday - J. Tatum - D. White - N. Queta,BOS,5,46,131.5,104.3,27.2,57.8,3.25,20.2,26.8,69.2,50.5,0.1,63.4,66.0,96.83,64.3
J. Landale - J. Green - T. Eason - A. Thompson - R. Sheppard,HOU,10,46,107.1,100.9,6.1,65.8,2.08,17.6,35.7,62.9,50.0,0.1,46.7,51.5,107.14,51.6
J. Poeltl - I. Quickley - O. Agbaji - S. Barnes - G. Dick,TOR,4,46,120.0,109.1,10.9,63.0,2.42,20.7,27.5,77.1,54.5,0.1,59.4,63.7,104.30,56.4
L. James - A. Davis - C. Reddish - A. Reaves - D. Knecht,LAL,6,46,112.5,123.0,-10.5,63.4,1.53,20.6,11.4,80.6,46.5,0.2,61.3,65.8,102.60,43.1
B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - A. Jackson Jr.,MIL,10,45,105.1,109.5,-4.4,65.1,5.60,20.0,26.4,85.4,52.1,0.1,48.9,51.3,104.05,50.0
G. Harris - J. Isaac - M. Wagner - J. Suggs - A. Black,ORL,10,45,81.3,83.5,-2.3,56.0,0.74,11.4,28.0,73.0,47.1,0.2,39.0,46.4,103.90,40.7
J. Grant - S. Henderson - S. Sharpe - T. Camara - D. Clingan,POR,7,45,98.9,114.9,-16.0,66.7,1.16,17.9,19.0,64.4,42.5,0.2,54.7,57.1,99.73,40.9
K. Durant - B. Beal - J. Nurkić - T. Jones - R. O'Neale,PHX,7,45,109.8,130.8,-21.0,57.9,1.38,18.2,19.4,70.7,46.8,0.2,61.0,63.8,97.00,41.7
S. Gilgeous-Alexander - L. Dort - I. Joe - C. Holmgren - J. Williams,OKC,5,45,122.7,117.7,5.0,81.8,3.00,24.5,29.2,75.0,48.8,0.1,56.6,60.4,102.21,47.6
B. Ingram - J. Green - B. Boston Jr. - T. Murphy III - Y. Missi,NOP,4,44,85.7,110.8,-25.0,66.7,0.82,14.6,29.8,67.3,49.0,0.2,41.9,47.9,100.72,36.0
J. Grant - D. Ayton - D. Avdija - S. Henderson - T. Camara,POR,10,44,97.9,103.2,-5.4,56.4,1.83,16.3,35.8,70.7,51.1,0.1,47.3,48.7,102.27,46.7
J. Tatum - D. White - N. Queta - P. Pritchard - S. Hauser,BOS,11,44,128.6,95.6,33.0,61.5,3.43,19.5,22.5,68.0,47.8,0.1,59.5,65.0,98.21,67.4
K. Thompson - S. Dinwiddie - P. Washington - N. Marshall - D. Lively II,DAL,5,44,102.1,102.2,-0.1,64.1,2.08,19.7,18.2,72.7,48.5,0.1,52.4,54.6,101.83,54.3
N. Claxton - Z. Williams - K. Johnson - T. Martin - N. Clowney,BKN,6,44,79.8,124.5,-44.7,72.4,1.11,16.5,22.2,79.4,44.3,0.2,42.2,44.0,103.51,25.7
S. Gilgeous-Alexander - L. Dort - A. Wiggins - J. Williams - C. Wallace,OKC,14,44,122.8,117.5,5.3,58.5,4.00,18.2,32.7,65.6,45.7,0.1,54.5,58.0,102.24,44.3
T. McConnell - P. Siakam - O. Toppin - J. Walker - J. Furphy,IND,8,44,103.0,111.0,-8.0,65.0,2.00,18.7,28.6,58.7,43.2,0.1,51.7,55.2,108.23,45.1
D. Schröder - N. Claxton - Z. Williams - J. Wilson - N. Clowney,BKN,6,43,101.1,98.8,2.3,64.7,1.57,17.5,33.3,61.9,46.2,0.2,48.7,50.2,96.93,48.6
J. Harden - K. Leonard - N. Powell - K. Dunn - I. Zubac,LAC,3,43,95.7,117.0,-21.3,74.3,1.63,20.3,18.2,77.1,48.9,0.2,50.6,53.5,103.90,42.9
J. Valančiūnas - J. Poole - J. Champagnie - B. Coulibaly - B. Carrington,WAS,4,43,102.1,126.5,-24.5,72.2,1.44,18.4,33.3,76.9,51.6,0.2,46.6,51.1,109.16,36.2
L. James - A. Davis - A. Reaves - M. Christie - D. Knecht,LAL,13,43,103.5,125.0,-21.5,58.1,1.50,15.4,33.3,74.4,53.1,0.1,47.2,53.1,93.99,43.8
L. James - R. Hachimura - J. Hayes - A. Reaves - M. Christie,LAL,4,43,127.9,118.7,9.2,70.0,2.80,22.2,29.3,72.7,51.8,0.1,59.3,62.8,99.33,52.6
N. Batum - J. Harden - M. Bamba - A. Coffey - K. Porter Jr.,LAC,13,43,92.8,120.0,-27.2,54.5,1.00,13.5,36.5,78.3,56.1,0.2,45.7,50.0,107.28,34.0
R. Westbrook - N. Jokić - J. Strawther - C. Braun - P. Watson,DEN,21,43,99.0,94.1,5.0,78.8,1.73,18.6,29.3,78.7,55.7,0.1,52.2,59.2,112.75,58.9
S. Gilgeous-Alexander - L. Dort - I. Joe - A. Wiggins - J. Williams,OKC,8,43,127.7,129.2,-1.5,61.4,2.45,20.6,24.4,52.3,38.8,0.1,64.5,66.6,106.10,49.2
V. Micić - J. Green - M. Diabate - B. Miller - T. Salaün,CHA,6,43,90.2,107.1,-16.9,74.1,1.67,17.1,28.8,69.2,42.3,0.1,44.2,45.6,92.01,33.7
A. Davis - R. Hachimura - G. Vincent - A. Reaves - M. Christie,LAL,10,42,102.3,118.9,-16.6,57.1,1.54,17.2,21.4,82.4,48.7,0.1,53.3,56.0,101.99,37.1
B. Adebayo - D. Robinson - H. Highsmith - T. Herro - K. Ware,MIA,4,42,108.1,111.5,-3.4,75.0,1.50,20.3,21.1,81.4,53.1,0.2,57.2,61.2,98.29,48.4
C. Paul - H. Barnes - Z. Collins - J. Champagnie - S. Castle,SAS,8,42,106.7,105.5,1.2,90.9,2.00,22.4,32.6,76.1,54.3,0.2,49.4,54.1,103.18,51.2
D. Jordan - J. Murray - M. Porter Jr. - J. Strawther - P. Watson,DEN,9,42,117.2,110.7,6.5,51.4,1.46,15.3,42.9,64.7,54.8,0.1,53.2,57.3,97.35,54.7
J. Butler - T. Rozier - B. Adebayo - H. Highsmith - T. Herro,MIA,8,42,121.6,105.7,15.8,63.9,2.30,17.8,39.1,77.8,56.1,0.1,53.7,59.2,98.83,55.0
K. Caldwell-Pope - G. Bitadze - F. Wagner - A. Black - T. da Silva,ORL,11,42,113.3,84.1,29.1,66.7,4.40,19.6,16.7,59.6,39.3,0.1,52.0,56.4,95.09,68.6
M. Turner - P. Siakam - T. Haliburton - B. Mathurin - J. Walker,IND,14,42,98.9,110.0,-11.1,71.4,1.54,16.5,24.4,70.3,45.1,0.1,47.9,54.6,104.08,40.3
A. Davis - D. Russell - R. Hachimura - A. Reaves - M. Christie,LAL,11,41,106.1,105.6,0.5,54.8,1.31,15.6,27.0,71.7,51.8,0.2,51.5,57.6,99.98,48.8
J. Brown - D. White - N. Queta - P. Pritchard - S. Hauser,BOS,10,41,139.7,145.5,-5.7,73.2,2.50,24.6,45.2,48.6,47.1,0.2,70.0,72.0,91.28,49.9
L. Markkanen - C. Sexton - J. Juzang - W. Kessler - K. George,UTA,6,41,114.0,115.9,-2.0,59.5,1.69,18.2,28.3,78.6,52.3,0.2,54.8,56.9,102.81,43.0
D. Schröder - N. Claxton - C. Johnson - Z. Williams - C. Thomas,BKN,6,40,111.5,119.3,-7.7,51.7,1.25,14.7,25.7,69.2,48.6,0.2,52.3,59.4,97.30,42.7
F. VanVleet - D. Brooks - A. Sengun - T. Eason - A. Thompson,HOU,14,40,125.0,72.1,52.9,60.0,2.63,17.5,38.5,67.5,53.2,0.1,57.6,62.3,101.36,81.9
K. Caldwell-Pope - W. Carter Jr. - C. Anthony - P. Banchero - T. da Silva,ORL,5,40,88.0,117.3,-29.3,60.7,2.43,14.8,27.3,88.6,51.1,0.1,39.2,41.8,99.06,31.6
R. Westbrook - D. Jordan - J. Murray - J. Strawther - P. Watson,DEN,8,40,110.1,109.3,0.8,60.5,1.92,18.3,33.3,84.6,58.0,0.1,53.8,57.3,105.40,52.7
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - P. Watson,DEN,11,40,129.4,85.0,44.4,74.4,7.25,22.8,31.7,74.5,54.5,0.0,59.9,62.9,99.55,72.6
A. Gordon - N. Jokić - J. Murray - J. Strawther - P. Watson,DEN,8,39,107.0,98.9,8.1,69.4,2.50,20.5,32.6,70.0,52.7,0.1,51.9,55.0,108.94,54.1
B. Lopez - K. Middleton - B. Portis - R. Rollins - A. Jackson Jr.,MIL,3,39,123.5,103.6,20.0,63.4,2.00,22.0,21.2,73.8,50.7,0.2,66.7,67.6,103.78,59.8
C. Capela - T. Young - V. Krejčí - D. Daniels - Z. Risacher,ATL,5,39,116.0,111.0,5.1,72.2,2.00,21.5,36.8,75.0,56.4,0.2,54.7,58.3,101.17,52.3
C. White - J. Smith - A. Dosunmu - D. Terry - M. Buzelis,CHI,9,39,113.1,103.6,9.5,71.0,1.57,18.8,31.6,73.2,53.2,0.2,52.9,59.8,104.59,57.5
D. Mitchell - J. Allen - M. Strus - D. Garland - D. Wade,CLE,5,39,137.3,120.7,16.6,67.5,3.86,20.6,48.8,65.6,56.0,0.1,56.6,60.9,102.77,59.3
K. Caldwell-Pope - G. Bitadze - T. Queen - J. Suggs - T. da Silva,ORL,2,39,101.2,82.1,19.1,39.4,0.81,12.4,28.9,75.7,52.0,0.2,51.4,54.9,100.35,63.2
N. Jokić - J. Murray - J. Strawther - C. Braun - P. Watson,DEN,15,39,118.9,132.2,-13.3,69.2,4.50,20.3,34.0,82.4,53.6,0.1,52.3,56.6,110.44,47.1
D. Šarić - J. Murray - M. Porter Jr. - C. Braun - P. Watson,DEN,3,38,89.0,77.5,11.5,51.7,1.36,14.3,18.2,76.7,47.1,0.1,44.5,47.7,103.13,59.6
M. Plumlee - T. Jones - D. Booker - R. O'Neale - G. Allen,PHX,14,38,106.0,116.9,-10.9,76.7,2.56,20.0,18.2,64.7,38.5,0.1,52.1,55.8,105.94,44.8
N. Batum - M. Bamba - T. Mann - K. Porter Jr. - J. Miller,LAC,5,38,106.3,92.7,13.6,60.6,1.67,17.7,33.3,71.4,51.4,0.1,52.8,55.1,102.01,56.6
C. White - J. Smith - A. Dosunmu - D. Terry - J. Phillips,CHI,12,37,96.6,115.1,-18.5,63.3,1.90,15.6,28.3,75.0,47.2,0.1,44.5,48.1,113.07,36.6
I. Hartenstein - S. Gilgeous-Alexander - I. Joe - J. Williams - C. Wallace,OKC,11,37,100.0,122.4,-22.4,60.7,1.13,15.7,37.8,51.2,44.2,0.2,45.1,48.5,96.15,32.8
K. Towns - O. Anunoby - J. Hart - M. Bridges - M. McBride,NYK,13,37,117.1,112.7,4.4,72.7,3.00,22.6,22.2,75.0,52.4,0.1,66.1,68.8,101.40,55.1
L. James - A. Davis - R. Hachimura - A. Reaves - D. Knecht,LAL,8,37,101.3,127.3,-26.0,74.2,2.30,21.7,14.3,65.0,41.3,0.1,56.3,57.7,100.04,42.4
T. Rozier - B. Adebayo - T. Herro - N. Jović - J. Jaquez Jr.,MIA,12,37,116.7,100.0,16.7,67.6,2.30,20.2,37.1,78.6,59.7,0.1,58.8,61.4,102.37,57.1
B. Lopez - D. Lillard - K. Middleton - B. Portis - G. Trent Jr.,MIL,7,36,109.0,127.3,-18.3,69.0,1.82,19.4,15.2,77.1,47.1,0.1,57.3,61.2,103.86,44.3
F. VanVleet - D. Brooks - J. Green - J. Tate - A. Sengun,HOU,6,36,118.7,98.8,19.9,67.6,7.67,21.3,25.6,87.9,54.2,0.0,54.2,56.4,102.06,58.3
J. Hart - M. Bridges - J. Brunson - M. McBride - J. Sims,NYK,11,36,115.7,132.4,-16.7,51.6,1.60,15.7,42.1,68.8,54.3,0.1,53.0,56.4,93.27,40.9
K. Lowry - P. George - J. Embiid - C. Martin - J. McCain,PHI,3,36,96.1,105.4,-9.3,70.8,1.31,17.3,13.9,68.6,40.8,0.2,50.0,55.6,100.18,44.7
K. Towns - C. Payne - O. Anunoby - J. Hart - M. McBride,NYK,12,36,109.0,98.8,10.2,63.6,3.00,18.8,28.3,73.8,50.0,0.1,48.1,51.3,104.56,54.5
S. Curry - D. Green - A. Wiggins - B. Hield - J. Kuminga,GSW,9,36,107.4,103.6,3.8,67.6,1.77,20.9,17.6,69.6,47.5,0.2,59.6,60.8,109.89,54.5
S. Curry - D. Green - B. Hield - G. Payton II - J. Kuminga,GSW,6,36,123.1,102.5,20.6,61.5,1.71,21.4,32.3,70.5,54.7,0.2,65.7,66.0,105.02,60.7
T. Harris - M. Beasley - I. Stewart - M. Sasser - S. Fontecchio,DET,11,36,123.4,107.7,15.7,68.6,2.40,21.8,28.1,62.8,48.0,0.1,64.6,66.3,103.37,53.7
C. McCollum - D. Murray - D. Theis - J. Green - T. Murphy III,NOP,7,35,122.2,127.9,-5.7,72.4,3.50,20.8,24.2,62.2,44.3,0.1,60.0,63.5,96.49,49.7
C. Paul - K. Johnson - D. Vassell - V. Wembanyama - S. Castle,SAS,10,35,111.7,130.7,-19.0,70.0,3.00,19.8,28.6,68.8,47.8,0.1,53.9,58.7,105.39,46.4
F. VanVleet - D. Brooks - J. Green - A. Sengun - T. Eason,HOU,15,35,112.0,125.0,-13.0,46.9,1.36,13.0,41.9,67.5,54.2,0.1,52.9,57.1,107.84,44.8
G. Antetokounmpo - D. Wright - B. Portis - G. Trent Jr. - A. Green,MIL,7,35,133.8,133.8,0.0,60.0,3.00,21.2,16.0,67.7,44.6,0.1,72.0,73.0,101.47,51.4
J. Grant - A. Simons - D. Ayton - D. Avdija - S. Henderson,POR,9,35,108.3,111.1,-2.8,64.3,4.50,18.2,25.0,62.5,43.8,0.1,51.6,53.9,99.45,49.5
J. Jackson Jr. - D. Bane - S. Pippen Jr. - Z. Edey - J. Wells,MEM,7,35,108.9,114.1,-5.2,48.5,0.94,15.1,33.3,81.8,57.6,0.2,57.6,60.7,109.22,45.4
K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,NYK,15,35,119.0,102.5,16.5,53.1,2.43,16.7,19.4,73.5,45.7,0.1,54.5,59.9,109.69,54.5
R. Westbrook - N. Jokić - J. Murray - J. Strawther - P. Watson,DEN,14,35,113.8,127.4,-13.6,58.3,1.24,19.4,28.0,65.7,50.0,0.2,66.7,69.7,112.14,43.1
T. Rozier - B. Adebayo - D. Robinson - H. Highsmith - T. Herro,MIA,10,35,126.0,111.8,14.3,56.8,2.33,20.0,33.3,67.9,49.2,0.1,63.0,63.8,96.57,56.3
T. Young - O. Okongwu - V. Krejčí - J. Johnson - D. Daniels,ATL,4,35,117.8,128.9,-11.1,72.7,1.60,22.2,36.7,68.2,50.0,0.2,59.5,62.6,103.39,40.0
A. Davis - R. Hachimura - A. Reaves - M. Christie - D. Knecht,LAL,9,34,145.6,126.5,19.1,75.8,3.57,25.3,25.0,57.1,44.1,0.1,67.9,73.9,95.92,56.6
D. Banton - J. Walker - K. Murray - R. Rupert - D. Reath,POR,6,34,104.0,125.7,-21.7,64.3,1.29,17.0,35.1,62.5,47.8,0.2,54.1,55.5,104.92,37.9
E. Gordon - A. Drummond - K. Oubre Jr. - C. Martin - T. Maxey,PHI,6,34,97.2,116.9,-19.7,34.6,1.29,9.7,31.6,72.4,49.3,0.1,42.9,48.7,100.56,38.8
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - A. Wiggins - J. Williams,OKC,6,34,131.5,95.9,35.6,62.2,1.92,22.1,30.8,77.4,56.1,0.2,68.0,70.5,103.06,67.7
J. Grant - A. Simons - S. Sharpe - T. Camara - D. Clingan,POR,5,34,87.3,86.3,1.0,60.0,1.50,15.8,21.4,78.4,48.1,0.1,44.8,45.7,100.66,50.5
J. Holiday - J. Tatum - N. Queta - P. Pritchard - S. Hauser,BOS,9,34,95.7,120.3,-24.6,61.9,1.08,14.4,26.5,57.9,43.1,0.2,52.8,57.5,94.21,41.1
J. Jackson Jr. - B. Clarke - S. Aldama - S. Pippen Jr. - J. Wells,MEM,5,34,125.4,100.0,25.4,55.9,2.71,18.3,36.8,76.9,57.1,0.1,51.4,56.8,101.64,62.9
J. Jackson Jr. - J. Morant - S. Aldama - Z. Edey - J. Wells,MEM,4,34,118.9,93.3,25.6,54.1,1.67,19.0,34.4,87.0,65.4,0.2,58.7,61.0,105.59,64.0
J. Nurkić - T. Jones - D. Booker - R. O'Neale - R. Dunn,PHX,4,34,89.6,111.8,-22.2,76.0,3.17,17.1,26.8,80.6,46.0,0.1,39.7,41.6,106.64,34.2
K. Towns - C. Payne - M. Bridges - P. Achiuwa - M. McBride,NYK,11,34,111.0,111.0,0.0,51.6,1.33,16.0,41.4,63.6,53.2,0.2,57.6,61.7,103.80,51.0
K. Towns - C. Payne - O. Anunoby - J. Hart - M. Bridges,NYK,4,34,119.4,118.3,1.1,68.8,3.14,22.0,18.8,67.6,43.9,0.1,60.0,62.5,100.34,53.7
K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. McBride,NYK,16,34,123.7,114.5,9.2,51.7,3.00,14.9,29.4,71.9,50.0,0.1,56.6,63.7,106.21,55.3
S. Curry - D. Green - A. Wiggins - J. Kuminga - T. Jackson-Davis,GSW,3,34,111.5,114.1,-2.6,59.4,1.12,17.4,32.4,71.8,52.6,0.2,56.7,59.5,109.15,45.5
T. Harris - M. Beasley - I. Stewart - C. Cunningham - J. Ivey,DET,13,34,80.8,101.3,-20.5,44.0,0.69,10.6,34.1,76.9,54.2,0.2,44.4,46.1,110.30,35.7
T. McConnell - M. Turner - O. Toppin - T. Haliburton - B. Mathurin,IND,18,34,116.0,114.3,1.8,52.8,3.17,17.8,18.9,75.0,46.6,0.1,59.9,62.0,115.68,48.5
C. LeVert - J. Allen - M. Strus - D. Garland - D. Wade,CLE,10,33,115.2,98.6,16.5,81.8,1.80,23.3,34.5,71.4,56.3,0.2,65.3,67.2,110.99,63.0
C. Paul - K. Johnson - T. Jones - J. Champagnie - V. Wembanyama,SAS,7,33,136.8,104.5,32.2,84.4,3.86,27.0,20.0,82.1,52.8,0.1,70.5,73.8,98.58,65.5
J. Allen - D. Garland - T. Jerome - D. Wade - I. Okoro,CLE,12,33,112.2,115.1,-2.9,54.8,1.31,17.0,31.0,70.0,50.8,0.2,59.5,63.8,107.73,51.9
J. Poeltl - C. Boucher - O. Agbaji - D. Mitchell - G. Dick,TOR,11,33,112.3,109.6,2.7,82.8,2.18,22.9,27.6,65.8,49.3,0.2,57.1,62.4,106.48,55.0
J. Valančiūnas - J. Poole - C. Kispert - B. Coulibaly - B. Carrington,WAS,15,33,85.7,126.8,-41.0,65.2,1.15,16.3,21.9,69.0,44.3,0.2,46.3,50.2,102.33,31.7
J. Valančiūnas - K. Kuzma - J. Poole - B. Coulibaly - K. George,WAS,4,33,76.8,133.3,-56.5,61.1,0.79,11.7,32.6,82.6,50.0,0.2,35.2,39.7,99.16,12.2
K. Kuzma - C. Kispert - B. Coulibaly - A. Sarr - B. Carrington,WAS,10,33,93.2,122.9,-29.7,56.0,0.78,14.7,25.8,71.9,49.2,0.2,54.6,57.4,105.30,35.1
K. Towns - C. Payne - O. Anunoby - J. Hart - J. Brunson,NYK,8,33,135.7,110.0,25.7,58.1,2.57,17.6,41.2,63.0,50.8,0.1,56.9,63.6,100.80,61.5
L. James - A. Davis - D. Russell - R. Hachimura - D. Knecht,LAL,3,33,85.1,121.5,-36.5,69.6,1.14,18.0,20.0,69.7,46.0,0.2,48.1,51.3,95.81,36.7
N. Vučević - Z. LaVine - L. Ball - C. White - P. Williams,CHI,7,33,131.0,101.3,29.7,75.0,3.00,24.0,17.9,70.0,48.5,0.1,66.7,69.8,107.03,64.8
S. Adams - F. VanVleet - D. Brooks - J. Green - A. Thompson,HOU,11,33,105.9,115.9,-10.1,51.9,1.17,14.4,39.5,61.8,50.0,0.2,48.4,52.0,99.72,40.1
V. Micić - C. Martin - J. Green - N. Richards - B. Miller,CHA,4,33,113.8,90.9,22.9,66.7,1.33,17.6,33.3,73.7,55.9,0.2,55.7,60.3,95.32,65.9
A. Horford - J. Holiday - K. Porziņģis - J. Brown - J. Tatum,BOS,4,32,127.5,111.9,15.6,68.8,2.75,22.2,28.6,61.5,47.8,0.1,60.8,65.6,100.53,62.7
C. Capela - B. Bogdanović - T. Young - D. Hunter - D. Daniels,ATL,14,32,116.7,97.2,19.4,66.7,2.44,20.2,26.5,65.6,45.5,0.1,65.9,67.1,111.84,58.8
C. Paul - S. Mamukelashvili - J. Champagnie - B. Wesley - V. Wembanyama,SAS,5,32,118.5,81.8,36.6,75.9,2.44,22.9,29.0,81.8,56.3,0.1,58.5,60.7,99.02,68.5
D. Jordan - A. Gordon - J. Murray - J. Strawther - P. Watson,DEN,6,32,106.1,130.2,-24.1,68.0,1.70,19.1,19.4,78.6,47.5,0.2,54.5,58.5,95.56,40.7
J. Holiday - K. Porziņģis - J. Brown - J. Tatum - P. Pritchard,BOS,10,32,100.0,86.8,13.2,57.7,2.50,15.5,22.5,78.0,50.6,0.1,48.4,51.5,105.49,60.2
